,COUNTA of Activity ID,Platform,,,,,,,,
,Main Brand,amazon_prime,instagram,netflix,standalone,tiktok,youtube_shorts,Grand Total,,
,Badoit Bulles de Fruits,,,,3,,,3,"tiktok, standalone",US
,Avast,,2,,1,,,3,standalone,GB
,American Express,,,,3,,,3,standalone,FR
,Adobe Acrobat,,,,3,,,3,"instagram, standalone",US
,Yves Saint Laurent,,,,2,,,2,standalone,IT
,Workday,,,,2,,,2,standalone,"GB, FR"
,Walking 4 Hope,,1,,1,,,2,standalone,US
,Voltaduo,,,,2,,,2,standalone,AU
,Unobravo,,,,2,,,2,"instagram, standalone",GB
,Unieuro,,,,2,,,2,standalone,ES
,Uber,,,,2,,,2,standalone,IT
,Transitions,,,,2,,,2,standalone,IT
,Toyota,,,,2,,,2,standalone,CA
,T-Mobile Home Internet,,,,2,,,2,standalone,IT
,Sky,,,,2,,,2,standalone,GB
,Secret Whole Body,,,,1,1,,2,standalone,US
,Secret Clinical Strength,,,,1,1,,2,standalone,GB
,Scotland,,,,2,,,2,"tiktok, standalone",US
,RIMOWA,,,,2,,,2,"tiktok, standalone",US
,Reckitt Reflex,,,,2,,,2,standalone,"DE, FR"
,Range Rover Sport,,,,2,,,2,standalone,US
,Qatar,,,,2,,,2,standalone,ES
,PopCorners,,,,1,1,,2,standalone,CA
,Persol,,,,2,,,2,standalone,DE
,OnePlus Buds Pro 3,,2,,,,,2,"tiktok, standalone",AU
,NatWest,,,,2,,,2,standalone,IT
,Monkey Shoulder,,1,,1,,,2,instagram,US
,Medibank,,,,2,,,2,standalone,GB
,Maybelline New York,,,,2,,,2,"instagram, standalone",GB
,Mastercard,,,,2,,,2,standalone,AU
,Macau,,,,2,,,2,standalone,AU
,Línea Directa,,,,2,,,2,standalone,GB
,L’Oréal,,,,2,,,2,standalone,US
,Kuwait Fund,,,,2,,,2,standalone,ES
,Klarna,,,,2,,,2,standalone,GB
,JLL,,,,2,,,2,standalone,"AE, DE"
,Jeep,,,,2,,,2,standalone,GB
,Japan,,,,2,,,2,standalone,AU
,IONOS,,,,2,,,2,standalone,ES
,Intimissimi,,,,2,,,2,standalone,FR
,Hugo Boss,,,,2,,,2,standalone,FR
,Hisense,,,,2,,,2,standalone,IT
,Hill’s,,,,2,,,2,standalone,IT
,Fuze Tea,,,,2,,,2,standalone,US
,FUJIFILM,,,,2,,,2,standalone,FR
,FAGE,,,,2,,,2,standalone,ES
,Energy Exemplar,,,,2,,,2,standalone,CA
,Elvive,,,,2,,,2,standalone,GB
,Electrolux,,,,2,,,2,standalone,"GB, US"
,Edison,,,,2,,,2,standalone,ES
,Dolce&Gabbana,,,,2,,,2,standalone,AU
,Disney+,,,,1,1,,2,standalone,IT
,Disney Cruise Line,,,,2,,,2,standalone,IT
,Crown Paints,,,,1,1,,2,"tiktok, standalone",AU
,Cadbury,,,,1,1,,2,standalone,AU
,Budget Direct,,,,2,,,2,"tiktok, standalone",GB
,Birra Messina,,,,2,,,2,"tiktok, standalone",AU
,Bimby,,,,2,,,2,standalone,AU
,Bill & Melinda Gates Foundation,,,,2,,,2,standalone,IT
,Azerbaijan,,,,2,,,2,standalone,IT
,AVIVA,,,,2,,,2,standalone,GB
,Audible,,,,2,,,2,standalone,"IN, DE"
,Atkins,,,,2,,,2,standalone,GB
,Aquarius,,,,2,,,2,standalone,AU
,Alfa Romeo,,,,2,,,2,standalone,US
,ACWA Power,,,,2,,,2,standalone,ES
,The Price is Right,,,,1,,,1,standalone,ES
,MAIN BRAND,,,1,,,,1,standalone,DE
,MAC,,,,1,,,1,standalone,US
,Guide Dogs,,,,1,,,1,netflix,GB
,Grand Total,3,820,3,1121,888,14,2849,standalone,US
